variant	bin_name	phase3_dist	phase4_mode	calc_variant	batch_size	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	1	1	OK	0	772.932	1978.87	2767.43	2774	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep1_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep1_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	1	2	OK	0	762.716	1975.96	2754.38	2758	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep2_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep2_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	1	3	OK	0	762.851	1972.21	2750.66	2754	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep3_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np1_rep3_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	2	1	OK	0	350.111	1292.04	1659.29	1661	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep1_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep1_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	2	2	OK	0	349.892	1293.14	1658.96	1663	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep2_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep2_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	2	3	OK	0	349.994	1293.57	1659.46	1664	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep3_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np2_rep3_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	4	1	OK	0	146.803	999.297	1162.78	1165	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep1_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep1_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	4	2	OK	0	146.756	999.398	1162.81	1166	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep2_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep2_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	4	3	OK	0	146.776	1000.01	1163.48	1167	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep3_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np4_rep3_8429558
block_pipeline_metacache_idxmap_batch2_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch2	calcbase	2	8429558	1	64	55	8	1	OK	0	88.813	756.235	861.848	865	65536	ilk-181	logs_variants_55/block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np8_rep1_8429558.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch2_calcbase_55sp_np8_rep1_8429558
