variant	bin_name	phase3_dist	phase4_mode	calc_variant	batch_size	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	1	1	OK	0	771.386	1972.27	2759.2	2764	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np1_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np1_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	1	2	OK	0	764.072	1976.38	2756.06	2759	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np1_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np1_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	1	3	OK	0	763.672	1983.05	2762.31	2765	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np1_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np1_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	2	1	OK	0	352.05	1263.94	1633.09	1636	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np2_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np2_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	2	2	OK	0	350.08	1269.39	1635.4	1637	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np2_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np2_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	2	3	OK	0	350.365	1265.34	1631.58	1634	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np2_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np2_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	4	1	OK	0	146.8	1000.65	1164.12	1167	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np4_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np4_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	4	2	OK	0	146.815	1000.82	1164.31	1167	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np4_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np4_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	4	3	OK	0	146.841	1000.68	1164.18	1167	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np4_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np4_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	8	1	OK	0	88.3776	690.238	795.426	798	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np8_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np8_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	8	2	OK	0	88.3907	689.657	794.834	798	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np8_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np8_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	8	3	OK	0	88.4283	689.414	794.68	799	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np8_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np8_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	16	1	OK	0	56.8437	420.394	493.687	499	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np16_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np16_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	16	2	OK	0	56.8804	420.715	494.151	498	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np16_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np16_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	16	3	OK	0	56.9024	420.532	493.919	497	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np16_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np16_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	32	1	OK	0	28.0073	424.62	468.775	474	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np32_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np32_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	32	2	OK	0	28.0345	425.309	469.517	474	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np32_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np32_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	32	3	OK	0	28.0655	425.161	469.363	474	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np32_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np32_rep3_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	64	1	FAIL	137	NA	NA	NA	49	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np64_rep1_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np64_rep1_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	64	2	FAIL	137	NA	NA	NA	51	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np64_rep2_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np64_rep2_8413350
block_pipeline_metacache_batch4_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch4	calcbase	4	8413350	1	64	55	64	3	FAIL	137	NA	NA	NA	52	65536	ilk-136	logs_variants_55/block_pipeline_metacache_batch4_calcbase_55sp_np64_rep3_8413350.log	results_variants_55/DMat_block_pipeline_metacache_batch4_calcbase_55sp_np64_rep3_8413350
