version	mode	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
pipeline_runlen_commopt	single-node	8110884	1	32	55	1	1	OK	0	792.254	2889.21	3697.14	3701	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np1_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np1_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	1	2	FAIL	137	NA	NA	NA	2031	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np1_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np1_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	1	3	OK	0	759.715	2877	3652.26	3655	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np1_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np1_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	1	4	OK	0	762.367	2874.45	3652.12	3656	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np1_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np1_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	1	5	OK	0	759.429	2895.08	3669.91	3675	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np1_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np1_rep5_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	2	1	OK	0	371.715	839.208	1227.68	1230	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np2_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np2_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	2	2	OK	0	370.886	839.44	1226.25	1229	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np2_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np2_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	2	3	OK	0	371.959	839.42	1227.3	1229	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np2_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np2_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	2	4	OK	0	371.075	839.873	1226.89	1229	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np2_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np2_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	2	5	OK	0	372.053	840.862	1228.9	1232	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np2_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np2_rep5_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	4	1	OK	0	187.403	606.94	810.891	813	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np4_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np4_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	4	2	OK	0	187.628	607.787	811.954	814	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np4_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np4_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	4	3	OK	0	187.619	607.265	811.441	815	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np4_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np4_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	4	4	OK	0	187.215	607.074	810.847	814	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np4_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np4_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	4	5	OK	0	186.966	604.208	807.696	811	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np4_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np4_rep5_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	8	1	OK	0	95.8566	555.616	668.38	671	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np8_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np8_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	8	2	OK	0	95.2541	554.847	666.878	670	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np8_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np8_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	8	3	OK	0	95.5792	556.489	668.82	672	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np8_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np8_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	8	4	OK	0	95.3597	555.097	667.232	669	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np8_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np8_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	8	5	OK	0	95.377	554.976	667.099	671	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np8_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np8_rep5_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	16	1	OK	0	72.6217	645.719	734.788	738	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np16_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np16_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	16	2	OK	0	72.7366	644.8	734.001	737	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np16_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np16_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	16	3	OK	0	72.5551	644.209	733.233	737	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np16_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np16_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	16	4	OK	0	72.6226	644.955	734.027	739	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np16_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np16_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	16	5	OK	0	72.5662	644.365	733.38	736	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np16_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np16_rep5_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	32	1	OK	0	71.1629	1010.36	1097.11	1100	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np32_rep1_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np32_rep1_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	32	2	OK	0	71.1478	1010.58	1097.35	1102	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np32_rep2_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np32_rep2_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	32	3	OK	0	71.2474	1006.95	1093.77	1097	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np32_rep3_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np32_rep3_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	32	4	OK	0	71.371	1007.5	1094.47	1098	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np32_rep4_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np32_rep4_8110884
pipeline_runlen_commopt	single-node	8110884	1	32	55	32	5	OK	0	71.2418	1007.58	1094.42	1099	65536	ilk-67	logs_phase4_single_64g/pipeline_runlen_commopt_single_55sp_np32_rep5_8110884.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_55sp_np32_rep5_8110884
