version	mode	job_id	nodes	ntasks_alloc	ntasks_per_node	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	1	1	OK	0	107.487	66.3474	176.204	179	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np1_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np1_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	1	2	OK	0	108.291	66.5634	177.211	179	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np1_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np1_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	1	3	OK	0	108.233	67.295	177.867	180	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np1_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np1_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	1	4	OK	0	108.4	66.6075	177.344	180	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np1_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np1_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	1	5	OK	0	108.198	67.3148	177.851	181	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np1_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np1_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	2	1	OK	0	53.4859	32.8418	88.8462	91	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np2_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np2_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	2	2	OK	0	53.4921	32.8347	88.864	91	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np2_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np2_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	2	3	OK	0	53.5285	32.8616	88.9372	93	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np2_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np2_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	2	4	OK	0	53.3981	32.9732	88.9109	94	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np2_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np2_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	2	5	OK	0	53.5309	32.7386	88.8225	92	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np2_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np2_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	4	1	OK	0	28.4216	27.1985	58.1981	62	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np4_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np4_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	4	2	OK	0	28.4764	26.9856	58.0248	60	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np4_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np4_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	4	3	OK	0	28.4349	26.916	57.9073	62	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np4_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np4_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	4	4	OK	0	28.4415	26.8505	57.8396	60	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np4_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np4_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	4	5	OK	0	28.4323	26.8304	57.8109	60	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np4_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np4_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	8	1	OK	0	19.8425	30.5913	52.8535	56	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np8_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np8_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	8	2	OK	0	19.6153	30.5138	52.5487	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np8_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np8_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	8	3	OK	0	19.8348	30.5215	52.7836	57	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np8_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np8_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	8	4	OK	0	19.5943	30.7272	52.7542	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np8_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np8_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	8	5	OK	0	19.7796	30.1229	52.3774	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np8_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np8_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	16	1	OK	0	20.031	28.6001	51.0993	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np16_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np16_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	16	2	OK	0	20.2176	29.1753	51.9173	58	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np16_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np16_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	16	3	OK	0	19.9996	29.3322	51.8369	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np16_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np16_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	16	4	OK	0	20.2016	28.8621	51.6094	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np16_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np16_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	16	5	OK	0	20.3	28.6759	51.4463	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np16_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np16_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	32	1	OK	0	20.0827	29.1253	51.9077	56	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np32_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np32_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	32	2	OK	0	20.0445	28.5436	51.4426	54	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np32_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np32_rep2_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	32	3	OK	0	20.3328	28.405	51.4903	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np32_rep3_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np32_rep3_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	32	4	OK	0	19.9766	29.0532	51.8025	56	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np32_rep4_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np32_rep4_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	10	32	5	OK	0	20.114	28.9687	51.8672	55	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_10sp_np32_rep5_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_10sp_np32_rep5_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	20	1	1	OK	0	291.291	327.143	624.434	627	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_20sp_np1_rep1_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_20sp_np1_rep1_8111048
pipeline_runlen_commopt	node-scaling-all-np	8111048	2	32	16	20	1	2	OK	0	290.509	325.749	622.205	626	65536	ilk-[201,206]	logs_phase4_nodes_allnp_64g/pipeline_runlen_commopt_nodes2_20sp_np1_rep2_8111048.log	results_phase4_nodes_allnp_64g/DMat_pipeline_runlen_commopt_nodes2_20sp_np1_rep2_8111048
